type,degree,sparsity,time
foil,10,100,0.0003
foil,10,50,0.0002
foil,10,20,0.0002
foil,10,10,0.0002
foil,10,5,0.0001
foil,10,2,0.0003
foil,20,100,0.0007
foil,20,50,0.0009
foil,20,20,0.0004
foil,20,10,0.0009
foil,20,5,0.0005
foil,20,2,0.0009
foil,50,100,0.0036
foil,50,50,0.0022
foil,50,20,0.0036
foil,50,10,0.0022
foil,50,5,0.0026
foil,50,2,0.0036
foil,100,100,0.0213
foil,100,50,0.0086
foil,100,20,0.0118
foil,100,10,0.0149
foil,100,5,0.0126
foil,100,2,0.0134
foil,200,100,0.0462
foil,200,50,0.0455
foil,200,20,0.0516
foil,200,10,0.053
foil,200,5,0.0501
foil,200,2,0.0485
foil,500,100,0.2987
foil,500,50,0.2732
foil,500,20,0.3074
foil,500,10,0.3523
foil,500,5,0.3097
foil,500,2,0.2878
foil,1000,100,1.6394
foil,1000,50,1.3454
foil,1000,20,1.2756
foil,1000,10,1.2545
foil,1000,5,1.1958
foil,1000,2,1.258
foil,2000,100,5.8586
foil,2000,50,5.0141
foil,2000,20,4.7913
foil,2000,10,4.779
foil,2000,5,5.0904
foil,2000,2,5.5061
hartley,10,100,0.0025
hartley,10,50,0.0025
hartley,10,20,0.0032
hartley,10,10,0.0031
hartley,10,5,0.0023
hartley,10,2,0.0021
hartley,20,100,0.0064
hartley,20,50,0.006
hartley,20,20,0.0075
hartley,20,10,0.0062
hartley,20,5,0.0062
hartley,20,2,0.0059
hartley,50,100,0.0212
hartley,50,50,0.0179
hartley,50,20,0.0196
hartley,50,10,0.0208
hartley,50,5,0.0203
hartley,50,2,0.0205
hartley,100,100,0.0704
hartley,100,50,0.0732
hartley,100,20,0.0676
hartley,100,10,0.0693
hartley,100,5,0.0722
hartley,100,2,0.0699
hartley,200,100,0.3072
hartley,200,50,0.3038
hartley,200,20,0.3107
hartley,200,10,0.2973
hartley,200,5,0.3008
hartley,200,2,0.2957
hartley,500,100,1.7053
hartley,500,50,1.6956
hartley,500,20,1.6708
hartley,500,10,1.6779
hartley,500,5,1.6716
hartley,500,2,1.6769
hartley,1000,100,9.9028
hartley,1000,50,9.9402
hartley,1000,20,9.9594
hartley,1000,10,9.888
hartley,1000,5,9.8412
hartley,1000,2,9.8853
hartley,2000,100,67.8266
hartley,2000,50,65.492
hartley,2000,20,65.1907
hartley,2000,10,65.2734
hartley,2000,5,65.0315
hartley,2000,2,65.0681
fft,10,100,0.0089
fft,10,50,0.004
fft,10,20,0.0039
fft,10,10,0.005
fft,10,5,0.0037
fft,10,2,0.0061
fft,20,100,0.0093
fft,20,50,0.0102
fft,20,20,0.009
fft,20,10,0.0098
fft,20,5,0.009
fft,20,2,0.0089
fft,50,100,0.0323
fft,50,50,0.0318
fft,50,20,0.0318
fft,50,10,0.031
fft,50,5,0.0321
fft,50,2,0.0343
fft,100,100,0.0961
fft,100,50,0.0945
fft,100,20,0.0991
fft,100,10,0.0932
fft,100,5,0.0943
fft,100,2,0.0954
fft,200,100,0.3206
fft,200,50,0.3184
fft,200,20,0.3376
fft,200,10,0.3172
fft,200,5,0.3189
fft,200,2,0.3161
fft,500,100,1.1437
fft,500,50,1.3288
fft,500,20,1.2767
fft,500,10,1.1397
fft,500,5,1.2915
fft,500,2,1.3785
fft,1000,100,4.2898
fft,1000,50,5.305
fft,1000,20,4.5257
fft,1000,10,4.5205
fft,1000,5,4.5301
fft,1000,2,4.5
fft,2000,100,21.516
fft,2000,50,22.4915
naïve,10,100,0.0169
naïve,10,50,0.0147
naïve,10,20,0.016
naïve,10,10,0.0178
naïve,10,5,0.0149
naïve,10,2,0.0152
naïve,20,100,0.0524
naïve,20,50,0.0537
naïve,20,20,0.0515
naïve,20,10,0.0543
naïve,20,5,0.0527
naïve,20,2,0.0562
naïve,50,100,0.225
naïve,50,50,0.2262
naïve,50,20,0.2324
naïve,50,10,0.2205
naïve,50,5,0.226
naïve,50,2,0.2246
naïve,100,100,0.8831
naïve,100,50,0.8946
naïve,100,20,0.8887
naïve,100,10,0.8887
naïve,100,5,0.877
naïve,100,2,0.8806
naïve,200,100,3.506
naïve,200,50,3.4728
naïve,200,20,3.5139
naïve,200,10,3.5002
naïve,200,5,3.4892
naïve,200,2,3.4255
naïve,500,100,15.7127
naïve,500,50,16.0837
naïve,500,20,16.2052
naïve,500,10,15.5169
naïve,500,5,15.6298
naïve,500,2,15.5325
naïve,1000,100,63.8089
naïve,1000,50,67.4097
naïve,1000,20,63.9071
naïve,1000,10,63.6734
naïve,1000,5,64.1567
naïve,1000,2,68.7698
naïve,2000,100,271.5051
naïve,2000,50,263.0988
